Name,Slot,Description,View Desc,Price,1/2 Price,Upgrade,CL,Weight (lb),Strength,School,Crafting Feat,Spells Needed,Other Reqs,Base Crafting DC, Num Req,Source,URL,Notes
"Figurine of Wondrous Power, Golden Lions",Slotless,"These figurines come in pairs. They become normal adult male lions. If slain in combat, the lions cannot be brought back from statuette form for 1 full week. Otherwise, they can be used once per day for up to 1 hour. They enlarge and shrink upon speaking the command word.",No,"16,500 ","8,250 ",-,?,?,?,?,?,?,?,0,?,?,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/e-g/figurines-of-wondrous-power/golden-lions,*
"Figurine of Wondrous Power, Ivory Goats",Slotless,"These figurines come in threes. Each goat of this trio looks slightly different from the others, and each has a different function: [ ** The Goat of Traveling: this statuette provides a speedy and enduring mount equal to that of a heavy horse in every way except appearance. The goat can travel for a maximum of 1 day each week—continuously or in any combination of periods totaling 24 hours. At this point, or when the command word is uttered, it returns to its statuette form for no less than 1 day before it can again be used. ** The Goat of Travail: This statuette becomes an enormous creature, larger than a bull, with the statistics of a nightmare except for the addition of a pair of wicked horns of exceptional size (damage 1d8+4 for each horn). If it is charging to attack, it may only use its horns (but add 6 points of damage to each successful attack in that round). It can be called to life just once per month for up to 12 hours at a time. ** The Goat of Terror: When called upon with the proper command word, this statuette becomes a destrier-like mount with the statistics of a light horse. However, its rider can employ the goat's horns as weapons (one horn as a +3 heavy lance, the other as a +5 longsword). When ridden in an attack against an opponent, the goat of terror radiates fear as the spell in a 30-foot radius (Will DC 16 partial). It can be used once every 2 weeks for up to 3 hours per use.  ]",No,"21,000 ","10,500 ",-,?,?,?,?,?,?,?,0,1,?,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/e-g/figurines-of-wondrous-power/ivory-goats,*
"Figurine of Wondrous Power, Lapis Camel",Slotless,"This palm-sized camel figurine is sculpted of lapis lazuli. When you throw the lapis camel to the ground and speak the command word, it turns into a dromedary camel. The camel acts as a normal camel in all respects, except that it obeys your verbal commands to the best of its animal-level intelligence. At your command, the camel returns to its figurine form. The lapis camel can be used up to 3 times per week for up 8 hours each use.",No,"7,500 ","3,750 ",-,11,1,Moderate,Transmutation,Craft Wondrous Item,Animate Object,-,21,1,PC: Legacy of Fire (Player's Guide),http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/e-g/figurines-of-wondrous-power/lapis-camel,
"Figurine of Wondrous Power, Marble Elephant",Slotless,"This is the largest of the figurines of wondrous power, being about the size of a human hand. Upon utterance of the command word, a marble elephant grows to the size and specifications of a true elephant. The animal created from the statuette is fully obedient to the figurine's owner, serving as a beast of burden, a mount, or a combatant. The statuette can be used four times per month for up to 24 hours at a time.",No,"17,000 ","8,500 ",-,?,?,?,?,?,?,?,0,?,?,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/e-g/figurines-of-wondrous-power/marble-elephant,*
"Figurine of Wondrous Power, Obsidian Steed",Slotless,"This figurine appears to be a small, shapeless lump of black stone. Only careful inspection reveals that it vaguely resembles some form of quadruped. On command, the near-formless piece of obsidian becomes a fantastic mount. Treat it as a heavy horse with the following additional powers usable once per round at will: overland flight, plane shift, and ethereal jaunt. The steed allows itself to be ridden, but if the rider is of good alignment, the steed is 10% likely per use to carry him to the lower planes and then return to its statuette form. The statuette can be used once per week for one continuous period of up to 24 hours. Note that when an obsidian steed becomes ethereal or plane shifts, its rider and his gear follow suit. Thus, the user can travel to other planes via this means.",No,"28,500 ","14,250 ",-,?,?,?,?,Craft Wondrous Item,Animate Object + Etherealness + Fly + Plane Shift,-,0,4,?,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/e-g/figurines-of-wondrous-power/obsidian-steed-figurine-of-wondrous-power,*
"Figurine of Wondrous Power, Onyx Dog",Slotless,"When commanded, this statuette changes into a creature with the same properties as a riding dog except that it is endowed with an Intelligence of 8, can communicate in Common, and has exceptional olfactory and visual abilities. It has the scent ability and adds +4 on its Perception checks. It has 60-foot darkvision, and it can see invisibility. An onyx dog can be used once per week for up to 6 hours. It obeys only its owner.",No,"15,500 ","7,750 ",-,?,?,?,?,?,?,?,0,1,?,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/e-g/figurines-of-wondrous-power/onyx-dog-figurine-of-wondrous-power,*
"Figurine of Wondrous Power, Serpentine Eagle",Slotless,This variant of the serpentine owl can be transformed into an eagle or giant eagle but is otherwise identical to the owl figurine. Serpentine eagles are popular for scouting and emergency transportation.,No,"9,100 ","4,550 ",-,11,0,Moderate,Transmutation,Craft Wondrous Item,Animate Object,-,21,1,"PC: Andoran, Spirit of Liberty",http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/e-g/figurines-of-wondrous-power/serpentine-eagle-figurine-of-wondrous-power,
"Figurine of Wondrous Power, Serpentine Owl",Slotless,"This figurine becomes either a normal-sized horned owl or a giant owl (use the stats for the giant eagle) according to the command word used. The owl communicates with its owner by telepathic means, informing her of all it sees and hears. The transformation can take place once per day, with a maximum duration of 8 continuous hours. However, after three transformations into giant owl form, the statuette loses all its magical properties.",No,"9,100 ","4,550 ",-,?,?,?,?,?,?,?,0,1,?,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/e-g/figurines-of-wondrous-power/serpentine-owl-figurine-of-wondrous-power,*
"Figurine of Wondrous Power, Silver Raven",Slotless,"This silver figurine turns into a raven on command (but it retains its metallic consistency, which gives it hardness 10). Another command sends it off into the air, bearing a message just like a creature affected by an animal messenger spell. If not commanded to carry a message, the raven obeys the commands of its owner, although it has no special powers or telepathic Abilities. It can maintain its nonfigurine status for only 24 hours per week, but the duration need not be continuous.",No,"3,800 ","1,900 ",-,?,?,?,?,?,?,?,0,1,?,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/e-g/figurines-of-wondrous-power/silver-raven-figurine-of-wondrous-power,*
"Figurine of Wondrous Power, Tin Imp",Slotless,"These fat, smirking imp figurines are made of solid tin. A tin imp turns into an imp on command, though it retains its metallic consistency, which gives it a +4 armor bonus to AC. In imp form, a tin imp can turn invisible at will as a swift action, though it retains none of an imp's other spell-like abilities and lacks a poisoned sting. Tin imps generally avoid combat, but make excellent spies and trackers. The tin imp's owner can, as a move action, designate a single creature in his line of sight as the tin imp's quarry. The tin imp then follows its quarry clandestinely, and sends a whispered message to its owner once each hour detailing the quarry's location and activities. The message is similar to the whispering wind spell, though the message unerringly locates the tin imp's owner instead of moving to a predetermined location. A tin imp can maintain its animate status for up to 48 hours per week. This duration doesn't need to be continuous, but must be used in 1-hour increments. If slain in combat, a tin imp is destroyed. Additionally, a creature with the track class feature can command a tin imp he owns to study a set of footprints (a standard action) and designate the creature that made the footprints as its quarry. The tin imp can then attempt to track the creature as if its owner was tracking it, using the owner's Perception and Survival skill (and any tracking bonuses).",No,"13,000 ","6,500 ",-,11,1,Moderate,Enchantment + Transmutation,Craft Wondrous Item,Animate Object + Invisibility + Whispering Wind,-,31,3,PRG: Advanced Class Guide,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/e-g/figurines-of-wondrous-power/tin-imp-figurine-of-wondrous-power,
Firepowder,Slotless,"This chalky yellow powder is usually kept in a finely woven canvas pouch. When you mix firepowder with fine sand, the resultant mixture quickly heats up until it combusts, creating a slow-burning flame that requires no additional fuel. Half a pound of firepowder takes 1 minute to mix, and the fire produced burns for 8 hours, equivalent to a standard campfire.",No,10 ,5 ,-,3,0.5,Faint,Evocation,Craft Wondrous Item,Continual Flame,-,13,1,PC: Legacy of Fire (Player's Guide),http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/e-g/firepowder,
"Flail, Spine",Slotless,"This weapon looks like the barbed spine of a humanoid. A spine flail functions as a +2 flail that deals slashing damage and has reach. Unlike most weapons with reach, a spine flail can be used against adjacent foes. On a critical hit from a spine flail, the victim must succeed at a DC 15 Fortitude save to resist being permanently blinded by the blow. Spine flails are favored by powerful dullahans, who harvest the spines from their first victims. The undead riders have a particular affinity for their personal spine flails, and often maintain a supernatural control over their weapons, causing them to appear or disappear at will.",No,"13,308 ","6,654 ",-,4,10,Faint,Necromancy,Craft Magic Arms and Armor,Blindness/Deafness,-,14,1,PAP 63: The Asylum Stone,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/e-g/flail-spine,
Flame of Rage,Head,"This ancient diadem is crafted in the shape of an enraged face with an enormous ruby in the center. The gem allows its wearer to channel her rage into pure flame. While under the effects of rage, as a standard action the wearer can expend 1 round of rage or raging song to cause the ruby to release a beam of fire like a miniature hellfire flume. If the wearer succeeds at a ranged touch attack against a creature or object within 30 feet, the beam deals 2d6 points of fire damage to that target. If the wearer instead expends 3 rounds of rage, bloodrage, or raging song, the beam becomes a 60-foot line instead, dealing 5d6 points of fire damage to all creatures and objects along that line (Reflex DC 14 negates).",No,"10,000 ","5,000 ",-,3,1,Faint,Evocation,Craft Wondrous Item,Scorching Ray,-,13,1,PRC: Advanced Class Origins,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/e-g/flame-of-rage,
Flask of Ebon Flame,Slotless,"This small flask smokes with an odorless black mist when opened. Each flask contains a single use of ebon flame, a strange sort of fire that is hostile to normal fire. Cool to the touch even in hot environs, when poured out, a flask creates a 20-foot-radius burst of black fire centered on the user. This burst of ebon flame extinguishes all natural fires and dispels magical fire (dispel check 1d20+5) in the area, including magic items that have fire effects (such as a flametongue sword or a necklace of fireballs), although items dispelled merely cease to function for 1d4 rounds. The ebon flame can cure damage caused by fire— each creature in the burst is healed 5d6 points of damage caused by fire effects. A creature with the fire subtype inside the area of the burst takes 5d6 points of damage and is stunned for 1 round — a successful DC 15 Fortitude save halves the damage and negates the stun effect. Ebon flame is unstable, and when combined in doses larger than a single use, or when not stored in a specially prepared flask, it dissipates harmlessly in a cloud of faint black smoke. Overlapping areas of ebon flame do not stack their effects.",No,"1,500 ",750 ,-,5,1,Faint,Transmutation,Craft Wondrous Item,False Life | Cure Moderate Wounds + Resist Energy | Quench,-,20,2,PAP 22: The End of Eternity,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/e-g/flask-of-ebon-flame,
Flask of the Reaper,Slotless,"*Note* This item is associated with a specific deity. This metal container looks like a hip flask for carrying alcoholic drinks except it is barely larger than a potion vial. The side of the flask may be blank or have a personalized decoration, but the screw-on stopper usually bears a mark like a shield or perhaps a featureless mask. Once per day, the bearer can drink from the flask to gain a +5 alchemical bonus on Fortitude saving throws against poison and a +5 competence bonus on Stealth checks for 1 hour. If The Reaper of Reputation is the bearer's patron, once per day the bearer can drink from the flask to gain a +5 competence bonus on Perception, Sleight of Hand, or Stealth checks (drinker's choice) for 1 hour. In addition, the bearer can pour acid from the flask (equivalent in volume to a standard acid flask) once per day.",No,"3,800 ","1,900 ",-,3,0,Faint,Transmutation,Craft Wondrous Item,Acid Splash + Resistance,(Skill) Perception 5 + (Skill) Sleight of Hand 5 + (Skill) Stealth 5,33,5,PCS: Inner Sea Gods,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/e-g/flask-of-the-reaper,
Floating Sail (10ft x 15ft),Slotless,"This silk cloth is folded into a neat triangle and tied with a gold ribbon. If the command word is spoken, a floating sail unfurls up to its full size in an area chosen by the speaker and becomes a rigid sheet of cloth capable of supporting a large amount of weight. When the command word is uttered a second time, the floating sail folds up into a triangle in a space chosen by the speaker (this space must be one that the floating sail was touching while unfurled). If the floating sail is bearing any weight when commanded to fold up, it collapses and takes the form of a normal silk sail; depending on whether the sail was placed on water, over a gap, or in a similarly perilous location, any creatures standing on it may become entangled in the sail, fall to their doom, or worse (at the GM's discretion, those who succeed at a Reflex save may avoid disaster). Similarly, a floating sail immediately collapses if its weight capacity is exceeded. A collapsed floating sail must be picked up and refolded by hand before it can be activated again.[  Capacity (lbs.) - 800  ]",No,"5,000 ","2,500 ",Floating Sail (15ft x 30ft),5,20,Faint,Transmutation,Craft Wondrous Item,Water Walk,-,15,1,PPC: Magical Marketplace,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/e-g/floating-sail,
Floating Sail (15ft x 30ft),Slotless,"This silk cloth is folded into a neat triangle and tied with a gold ribbon. If the command word is spoken, a floating sail unfurls up to its full size in an area chosen by the speaker and becomes a rigid sheet of cloth capable of supporting a large amount of weight. When the command word is uttered a second time, the floating sail folds up into a triangle in a space chosen by the speaker (this space must be one that the floating sail was touching while unfurled). If the floating sail is bearing any weight when commanded to fold up, it collapses and takes the form of a normal silk sail; depending on whether the sail was placed on water, over a gap, or in a similarly perilous location, any creatures standing on it may become entangled in the sail, fall to their doom, or worse (at the GM's discretion, those who succeed at a Reflex save may avoid disaster). Similarly, a floating sail immediately collapses if its weight capacity is exceeded. A collapsed floating sail must be picked up and refolded by hand before it can be activated again.[  Capacity (lbs.) - 1000  ]",No,"15,000 ","7,500 ",Floating Sail (15ft x 40ft),5,25,Faint,Transmutation,Craft Wondrous Item,Water Walk,-,15,1,PPC: Magical Marketplace,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/e-g/floating-sail,
Floating Sail (15ft x 40ft),Slotless,"This silk cloth is folded into a neat triangle and tied with a gold ribbon. If the command word is spoken, a floating sail unfurls up to its full size in an area chosen by the speaker and becomes a rigid sheet of cloth capable of supporting a large amount of weight. When the command word is uttered a second time, the floating sail folds up into a triangle in a space chosen by the speaker (this space must be one that the floating sail was touching while unfurled). If the floating sail is bearing any weight when commanded to fold up, it collapses and takes the form of a normal silk sail; depending on whether the sail was placed on water, over a gap, or in a similarly perilous location, any creatures standing on it may become entangled in the sail, fall to their doom, or worse (at the GM's discretion, those who succeed at a Reflex save may avoid disaster). Similarly, a floating sail immediately collapses if its weight capacity is exceeded. A collapsed floating sail must be picked up and refolded by hand before it can be activated again.[  Capacity (lbs.) - 1250  ]",No,"20,000 ","10,000 ",Floating Sail (20ft x 50ft),5,40,Faint,Transmutation,Craft Wondrous Item,Water Walk,-,15,1,PPC: Magical Marketplace,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/e-g/floating-sail,
Floating Sail (20ft x 50ft),Slotless,"This silk cloth is folded into a neat triangle and tied with a gold ribbon. If the command word is spoken, a floating sail unfurls up to its full size in an area chosen by the speaker and becomes a rigid sheet of cloth capable of supporting a large amount of weight. When the command word is uttered a second time, the floating sail folds up into a triangle in a space chosen by the speaker (this space must be one that the floating sail was touching while unfurled). If the floating sail is bearing any weight when commanded to fold up, it collapses and takes the form of a normal silk sail; depending on whether the sail was placed on water, over a gap, or in a similarly perilous location, any creatures standing on it may become entangled in the sail, fall to their doom, or worse (at the GM's discretion, those who succeed at a Reflex save may avoid disaster). Similarly, a floating sail immediately collapses if its weight capacity is exceeded. A collapsed floating sail must be picked up and refolded by hand before it can be activated again.[  Capacity (lbs.) - 2000  ]",No,"32,000 ","16,000 ",-,5,50,Faint,Transmutation,Craft Wondrous Item,Water Walk,-,15,1,PPC: Magical Marketplace,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/e-g/floating-sail,
"Goggles, Storm",Eyes,"These goggles, made from a pair of smoky crystal lenses set in an adjustable leather strap, help the wearer see through storms of rain, snow, or even dust. A pair of storm goggles fully negates any Perception penalties imposed by a natural storm or atmospheric condition. Also, once per round when the wearer makes an attack against a target that has concealment from him because of natural or magical fog, mist, clouds, or vapor, the wearer can choose to roll the miss chance percentile twice and take the better of the two results.",No,"6,000 ","3,000 ",-,3,0,Faint,Transmutation,Craft Wondrous Item,Acute Senses,(Feat) Skill Focus (Perception),18,2,PPC: Heroes of the Wild,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/e-g/goggles-storm,
Formula Alembic,Slotless,"This magically-augmented alchemical device distills a potion or alchemist extract into the knowledge needed to create its formula. By gently heating a potion or extract in the alembic for 1 hour, the device creates a few drops of magical liquid. If consumed by an alchemist, this liquid gives him knowledge of the potion's or extract's formula, as if it were an extract he recorded in his formula book. This knowledge lasts for 24 hours. He may scribe this formula in his formula book in the normal fashion. Using the alembic does not harm the potion, but the process makes it nearly boiling hot (it cools normally). The alembic can only distill the knowledge of formulas on the alchemist extract list (for example, it cannot turn a potion of a cleric-only spell into something an alchemist can learn).",No,200 ,100 ,-,3,2,Faint,Divination,Brew Potion + Craft Wondrous Item,Identify,(Class) Alchemist,18,2,PRG: Ultimate Equipment,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/e-g/formula-alembic,
Fortifying Leeches,Slotless,"This ornate glass jar is filled with greenish fluid and the slick, writhing forms of many large black leeches. Though bloodmages often use leeches to help them regulate their overloaded circulatory systems, this particular batch adds additional benefits usable by anyone. To attach this jar's leeches, the user merely needs to open the jar and upend the contents over his head and torso as a standard action—the leeches do the rest, attaching to the user's body almost instantaneously. These leeches impart a +2 enhancement bonus to Constitution, but also a –4 penalty on Diplomacy checks against creatures that might find such a practice grotesque (such as most civilized races). Once applied, the leeches persist for 8 hours before they die. The leeches are immediately destroyed if the wearer takes more than 20 points of damage from any area-effect energy damage. The jar automatically refills with a new batch of fortifying leeches after 24 hours. While the fortifying leeches are applied, a bloodmage immediately regains 2 bonus points to her blood pool—this cannot increase her blood points to higher than her normal maximum. In addition, whenever the bloodmage uses her bleed ability to gain extra blood points, she may roll her bleed dice twice and take the more favorable result.",No,"6,000 ","3,000 ",-,3,2,Faint,Transmutation,Craft Wondrous Item,Bear's Endurance,-,13,1,PAP 63: The Asylum Stone,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/e-g/fortifying-leeches,
Frostwild Bridle,Head,"When this bridle of crystal-studded white leather is placed on a horse or similar mount, the animal's eyes emit a bright azure glow and its hair glistens with magical frost. A frostwild bridle provides cold resistance 20 to its wearer. Also, three times per day on the rider's command, the animal wearing a frostwild bridle can breathe a 60-foot cone of frost that deals 9d6 points of cold damage to all creatures in the area. A successful DC 17 Reflex save halves the damage.",No,"48,000 ","24,000 ",-,9,2,Moderate,Evocation,Craft Wondrous Item,Cone of Cold + Resist Energy,-,24,2,PPC: Heroes of the Wild,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/e-g/frostwild-bridle,
"Glove, Glowing",Hands,"The wearer of this slender white leather glove may, as a standard action, press it against any surface or object and cause a luminous handprint to appear. This print glows any color the wearer wishes, sheds light as a candle, and is easily visible from a distance of up to 60 feet. Such handprints last for 1 day before fading away. The glowing handprint matches the wearer’s hand in terms of size, position of fingers, and so on.",No,"2,000 ","1,000 ",-,1,0,Faint,Universal,Craft Wondrous Item,Arcane Mark,-,11,1,PRG: Ultimate Equipment,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/e-g/glove-glowing,
Gloves of Reconnaissance,Hands,"Each of these fingerless worked leather gloves look as though they have seen heavy use, and often bear the stains or scent of grass or wet mud. On command, the wearer can use the gloves to see and hear though solid material no more than 15 feet thick by placing both hands on that material. The gloves can be used for 10 rounds each day. The rounds need not be consecutive.",No,"2,000 ","1,000 ",-,3,0,Faint,Divination,Craft Wondrous Item,Clairaudience/Clairvoyance,-,13,1,PRG: Ultimate Equipment,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/e-g/gloves-of-reconnaissance,
"Gloves, Apprentice’s Cheating",Hands,These nondescript white gloves are a boon to minor spellcasters and fakes who are limited or lacking in magical ability or versatility. The wearer of these gloves can employ mage hand and prestidigitation at will.,No,"2,200 ","1,100 ",-,3,0,Faint,Transmutation,Craft Wondrous Item,Mage Hand + Prestidigitation,-,18,2,PRG: Ultimate Equipment,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/e-g/gloves-apprentice-s-cheating,
"Gloves, Challenger’s",Hands,"These supple, velvet gloves are the sort that might be thrown down in challenge for a duel or other single combat. By removing a glove and using it to make a melee or ranged touch attack against an opponent, the wearer of the other glove gains a +1 morale bonus on attack rolls against the target, and the target gains a —1 penalty on attack rolls against the wearer. Both of these effects last for 1 minute, but immediately end if anyone but the glove’s wearer attacks the challenged opponent. Both gloves must be worn by the same creature.",No,"2,200 ","1,100 ",-,1,0,Faint,Transmutation,Craft Wondrous Item,Bane + Bless,-,16,2,PRG: Ultimate Equipment,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/e-g/gloves-challenger-s,
Gauntlets of Skill at Arms,Hands,"These finely crafted leather gauntlets have plates of silvered steel covering the back, and silver buckles at the wrist and forearm. The gloves enable the wearer to use any traditional elven weapon (longbows, composite longbows, longswords, rapiers, shortbows, composite shortbows, and any weapon with the word ""elven"" in its name) as if he were proficient in its use. If he uses such a weapon and is already proficient with it, he gains a +1 competence bonus on attack and damage rolls. Both gauntlets must be worn for the magic to be effective.",No,"30,302 ","15,151 ",-,8,1,Moderate,Transmutation,Craft Magic Arms and Armor,-,Must be an elf,0,?,PRG: Advanced Race Guide,https://www.aonprd.com/MagicWeaponsDisplay.aspx?ItemName=Gauntlets%20of%20Skill%20at%20Arms,*
Gloves of Larceny,Hands,These supple beige calfskin gloves greatly enhance a thief’s talents. The wearer gains a +5 competence bonus on Sleight of Hand checks.,No,"2,500 ","1,250 ",-,3,1,Faint,Transmutation,Craft Wondrous Item,-,(Skill) Sleight of Hand 5,13,1,PRG: Ultimate Equipment,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/e-g/gloves-of-larceny,
"Gloves, Healer’s",Hands,These pure-white leather gloves bear symbols of healing and faith on the back of the hands. The wearer gains a +5 competence bonus on Heal checks.,No,"2,500 ","1,250 ",-,5,0,Faint,Conjuration,Craft Wondrous Item,-,(Skill) Heal 5,15,1,PRG: Ultimate Equipment,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/e-g/gloves-healer-s,
"Gloves, Quickfingers",Hands,"These dark-colored, skin-tight gloves are typically made of either supple calfskin or silk. A wearer of these gloves with at least 1 rank in Sleight of Hand can perform such a check as a move action by taking a –10 penalty on the check rather than the normal –20. Both gloves must be worn for the magic to be effective.",No,"2,500 ","1,250 ",-,5,0,Faint,Transmutation,Craft Wondrous Item,Cat's Grace + Haste,-,20,2,PRG: Advanced Race Guide,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/e-g/quickfingers-gloves,
"Gauntlet, Inheritor's Gauntlet",Hands,"*Note* This item is associated with a specific deity. This metal gauntlet is the sort appropriate for wearing with chainmail, though versions suited for leather or full plate exist. Affixed to the wrist is a white cloth with a longsword embroidered in gold thread. Once per day, the wearer can speak a command word to give a weapon the wearer holds in that hand (or the gauntlet itself) a +1 enhancement bonus on attack and damage rolls for 1 minute. An Inheritor's gauntlet uses up the wearer's entire hands slot; the wearer can not use another item (even another Inheritor's gauntlet) that also uses the hands slot, though a matching non-magical gauntlet is often worn on the other hand. If the associated deity is the wearer's patron, the gauntlet lets the wearer use any sword he holds in that hand as a holy symbol. Once per day, the wearer can speak a command word and give any sword he holds the powers of an evil outsider-bane weapon for 1 minute; this effect ends if the wearer drops the sword or removes the gauntlet. If the wearer uses a finger to draw The Inheritor's symbol on any solid surface, the symbol glows as brightly as a candle for 1 hour or until the wearer draws the symbol elsewhere (whichever comes first).",No,"2,700 ","1,350 ",-,5,1,Faint,Evocation,Craft Wondrous Item,Light + Magic Weapon + Summon Monster I,-,25,3,PCS: Inner Sea Gods,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/e-g/gauntlet-inheritor-s-gauntlet,
"Workgloves, Engineer’s",Hands,"These durable canvas and leather gloves imbue the wearer with an instinctive knowledge of mechanical devices. The wearer also gains a +5 competence bonus on Craft and Knowledge checks made to repair or understand mechanical devices. Once per day, the wearer may touch a device and instantly analyze it, learning its purpose and general method of operation, as well as diagnosing any acute malfunctions of the device, but not its magical powers or additional non-mechanical effects. For example, she could touch a pressure plate and understand that stepping on it would trigger a wall scythe trap attacking that square and that the trap resets automatically, but not that the trap includes a +1 flaming scythe coated in poison.",No,"3,000 ","1,500 ",-,5,0,Faint,Divination,Craft Wondrous Item,-,(Skill) Knowledge (Engineering) 5,15,1,PRG: Ultimate Equipment,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/r-z/workgloves-engineer-s,
Gloves of Stolen Unlife,Hands,"These pale gray gauntlets feature cabochons of banded black onyx that slowly shift to white when the gloves are activated. Three times per day, the wearer can activate the gloves as a swift action after successfully affecting an undead creature with an offensive single-target spell. Doing so grants the wearer a number of temporary hit points equal to 10 + the Hit Dice of the affected undead (maximum +10), which last a number of minutes equal to the level of the spell cast. This effect ends immediately if either glove is removed.",No,"3,040 ","1,520 ",-,3,1,Faint,Necromancy,Craft Wondrous Item,False Life,-,13,1,PPC: Undead Slayer's Handbook,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/e-g/gloves-of-stolen-unlife,
"Gloves, Aristocrat's",Hands,"Wealthy aristocrats wear these elegant, full-length white gloves. Twice per day as a move action, the wearer of these gloves can repel an unwanted creature for 1 minute or until the wearer touches another creature, whichever comes first. Any creature attempting to attack or touch the wearer during this time must succeed at a DC 11 Will save to do so (as the sanctuary spell). Once per day, the wearer can summon a surge of invisible force to knock back a single target within 40 feet. The wearer attempts a combat maneuver check to bull rush one creature or object with a +5 bonus. This bull rush combat maneuver doesn't provoke an attack of opportunity.",No,"3,600 ","1,800 ",-,5,1,Faint,Abjuration + Evocation,Craft Wondrous Item,Hydraulic Push + Sanctuary,-,20,2,PCS: Inner Sea Combat,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/e-g/gloves-aristocrat-s,
Gauntlets of the Skilled Maneuver,Hands,"The wearer of these gauntlets gains a +2 bonus on one type of combat maneuver check (such as bull rush, disarm, or steal) chosen by the creator when the item is created.",No,"4,000 ","2,000 ",-,3,1,Faint,Transmutation,Craft Wondrous Item,-,(Feat) the combat maneuver chosen,13,1,PRG: Ultimate Equipment,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/e-g/gauntlets-of-the-skilled-maneuver,
"Gauntlets, Irongrip",Hands,"These gloves are made of goatskin reinforced with heavy iron strips. They provide a sure, strengthened grip on large or awkwardly shaped items. When the wearer wields an improvised melee weapon or inappropriately sized weapon, reduce the penalty for doing so by 2 (minimum 0). The gloves don’t change the number of hands required to wield such a weapon.",No,"4,000 ","2,000 ",-,3,2,Faint,Transmutation,Craft Wondrous Item,Bull's Strength + Enlarge Person,-,18,2,PRG: Monster Codex,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/e-g/gauntlets-irongrip,
Gloves of Arrow Snaring,Hands,"Once worn, these snug gloves seem to meld with the hands, becoming almost invisible to casual observation. Twice per day, the wearer can act as if he had the Snatch Arrows feat, even if he does not meet the prerequisites for the feat. Both gloves must be worn for the magic to be effective, and at least one hand must be free to take advantage of the magic.",No,"4,000 ","2,000 ",-,3,0,Faint,Abjuration,Craft Wondrous Item,Shield,-,13,1,?,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/e-g/gloves-of-arrow-snaring,
